Date,ETF,Open,High,Low,Close,Volume
2025-07-21,DIA,444.2,446.01,443.14,443.44,2548800
2025-07-21,IWM,223.54,224.41,221.25,221.43,28191400
2025-07-21,QQQ,562.09,566.06,562.06,564.17,39595200
2025-07-21,SPY,628.77,631.54,628.34,628.77,63375000
2025-07-22,DIA,442.86,445.45,442.84,444.96,3091600
2025-07-22,IWM,221.62,223.81,220.66,223.27,30873300
2025-07-22,QQQ,564.3,564.35,558.61,561.25,43270600
2025-07-22,SPY,629.1,629.73,626.19,628.86,60046300
2025-07-23,DIA,447.25,450.25,446.35,450.21,5486500
2025-07-23,IWM,224.82,226.71,224.07,226.68,37478100
2025-07-23,QQQ,562.34,563.85,559.58,563.81,40215300
2025-07-23,SPY,631.55,634.21,629.73,634.21,70511000
2025-07-24,DIA,447.01,449.13,446.75,447.11,5078300
2025-07-24,IWM,225.52,225.85,223.48,223.55,29446700
2025-07-24,QQQ,565.13,566.24,563.29,565.01,42275500
2025-07-24,SPY,634.6,636.15,633.99,634.42,71307100
2025-07-25,DIA,447.53,449.41,446.41,449.02,3710600
2025-07-25,IWM,224.42,224.6,222.54,224.38,24555500
2025-07-25,QQQ,564.93,567.7,564.27,566.37,30630800
2025-07-25,SPY,635.09,637.58,634.84,637.1,56865400
2025-07-28,DIA,448.66,449.48,447.38,448.34,2864200
2025-07-28,IWM,225.32,225.44,223.43,224.12,24934900
2025-07-28,QQQ,567.74,569.04,566.87,568.14,31498700
2025-07-28,SPY,637.48,638.04,635.54,636.94,54917100
2025-07-29,DIA,448.63,448.85,445.65,446.48,3146200
2025-07-29,IWM,225.61,225.69,222.06,222.69,28685900
2025-07-29,QQQ,570.76,572.11,566.53,567.26,45463300
2025-07-29,SPY,638.35,638.67,634.34,635.26,60556300
2025-07-30,DIA,446.71,447.38,442.61,444.76,3765000
2025-07-30,IWM,223.66,224.93,220.12,221.56,48924400
2025-07-30,QQQ,568.18,570.62,565.05,568.02,43433800
2025-07-30,SPY,635.92,637.68,631.54,634.46,80418900
2025-07-31,DIA,445.27,446.2,440.5,441.33,4223300
2025-07-31,IWM,220.46,222.02,218.88,219.39,42913900
2025-07-31,QQQ,574.54,574.63,563.87,565.01,64613600
2025-07-31,SPY,639.46,639.85,630.77,632.08,103385200
2025-08-01,DIA,437.75,437.76,433.4,435.72,5980000
2025-08-01,IWM,216.22,216.56,212.34,214.92,63854100
2025-08-01,QQQ,558.83,559.02,551.68,553.88,69400800
2025-08-01,SPY,626.3,626.34,619.29,621.72,140103600
2025-08-04,DIA,437.88,441.9,437.59,441.81,5065800
2025-08-04,IWM,216.55,219.74,216.08,219.73,34989600
2025-08-04,QQQ,559.05,564.32,558.95,564.1,47669800
2025-08-04,SPY,625.67,631.22,625.58,631.17,73218000
2025-08-05,DIA,441.8,443.0,439.21,441.14,4081600
2025-08-05,DIA,441.91,443.41,440.52,442.39,3506070
2025-08-05,IWM,220.56,221.26,218.24,220.85,31337100
2025-08-05,IWM,221.66,222.86,220.91,222.57,26762200
2025-08-05,QQQ,565.39,566.56,559.73,560.27,48666600
2025-08-05,QQQ,571.02,574.47,569.7,573.44,37783500
2025-08-05,SPY,631.79,632.61,627.04,627.97,68051400
2025-08-05,SPY,632.78,634.54,631.66,633.92,62727400
2025-08-06,DIA,442.11,442.95,440.13,441.97,2975300
2025-08-06,IWM,220.95,220.99,219.38,220.56,23142100
2025-08-06,QQQ,561.11,567.76,560.63,567.32,41823700
2025-08-06,SPY,629.05,633.44,628.13,632.78,64357500
2025-08-07,DIA,444.27,445.01,437.98,439.72,5205100
2025-08-07,IWM,222.76,222.84,218.51,219.84,37088000
2025-08-07,QQQ,571.67,573.32,565.11,569.24,44463000
2025-08-07,SPY,636.24,636.98,629.11,632.25,74205800
2025-08-08,DIA,440.81,442.88,440.31,441.92,3684500
2025-08-08,IWM,221.07,221.57,219.74,220.32,28318100
2025-08-08,QQQ,570.45,574.77,570.15,574.55,35255500
2025-08-08,SPY,634.06,637.65,633.74,637.18,64051600
2025-08-11,DIA,442.33,442.87,439.23,440.01,3538100
2025-08-11,IWM,220.77,221.68,219.81,220.27,25212800
2025-08-11,QQQ,574.69,576.8,571.57,572.85,33112900
2025-08-11,SPY,637.46,638.95,634.66,635.92,58742300
2025-08-12,DIA,441.69,445.15,441.14,444.68,5012600
2025-08-12,IWM,221.85,226.98,221.15,226.81,43815500
2025-08-12,QQQ,575.16,580.35,572.49,580.05,42143300
2025-08-12,SPY,638.29,642.85,636.79,642.69,64730800
2025-08-13,DIA,446.44,449.65,446.05,449.42,6203200
2025-08-13,IWM,228.26,231.46,227.83,231.22,41705800
2025-08-13,QQQ,582.76,583.32,578.94,580.34,41209300
2025-08-13,SPY,644.91,646.19,642.68,644.89,60092800
2025-08-14,DIA,447.74,449.64,446.98,449.16,4553200
2025-08-14,IWM,228.44,228.8,226.17,228.24,55945500
2025-08-14,QQQ,578.28,581.88,577.91,579.89,45425000
2025-08-14,SPY,642.79,645.62,642.34,644.95,59327500
2025-08-15,DIA,451.9,452.05,448.97,449.53,5584400
2025-08-15,IWM,228.64,228.78,226.04,227.13,33571400
2025-08-15,QQQ,579.8,579.84,575.57,577.34,49480200
2025-08-15,SPY,645.99,646.09,642.52,643.44,68592500
2025-08-18,DIA,449.35,449.97,448.63,449.05,3809100
2025-08-18,IWM,227.21,228.46,226.94,227.96,20144100
2025-08-18,QQQ,576.44,577.77,575.24,577.11,29831000
2025-08-18,SPY,642.86,644.0,642.18,643.3,43804900
2025-08-19,DIA,449.85,452.15,448.21,449.29,5794900
2025-08-19,IWM,228.02,228.98,225.69,226.21,25000700
2025-08-19,QQQ,576.39,576.56,568.25,569.28,53752600
2025-08-19,SPY,643.12,644.11,638.48,639.81,69750700
2025-08-20,DIA,449.79,450.52,447.67,449.36,4731400
2025-08-20,IWM,225.93,226.38,223.69,225.41,29229700
